player_url,player,team,age,height,weight
203932,Aaron Gordon,ORL,23,81,220
1628988,Aaron Holiday,IND,22,73,185
1627846,Abdel Nader,OKC,25,78,225
201143,Al Horford,BOS,33,82,245
202329,Al-Farouq Aminu,POR,28,81,220
1626210,Alan Williams,BKN,26,80,265
202692,Alec Burks,SAC,27,78,214
203518,Alex Abrines,OKC,25,78,200
1627936,Alex Caruso,LAL,25,77,186
203458,Alex Len,ATL,26,85,250
1627816,Alex Poythress,ATL,25,81,235
1628035,Alfonzo McKinnie,GSW,26,80,215
1628993,Alize Johnson,IND,23,81,212
203459,Allen Crabbe,BKN,27,78,212
1629019,Allonzo Trier,NYK,23,77,200
1628518,Amile Jefferson,ORL,26,81,222
101161,Amir Johnson,PHI,32,81,240
203083,Andre Drummond,DET,25,83,279
2738,Andre Iguodala,GSW,35,78,215
201281,Andre Ingram,LAL,33,75,190
101106,Andrew Bogut,GSW,34,84,260
1626150,Andrew Harrison,NOP,24,78,213
203952,Andrew Wiggins,MIN,24,80,194
1629014,Anfernee Simons,POR,20,76,185
1629116,Angel Delgado,LAC,24,82,245
1627790,Ante Zizic,CLE,22,83,254
203076,Anthony Davis,NOP,26,82,253
201229,Anthony Tolliver,MIN,34,80,250
1628469,Antonio Blakeney,CHI,22,76,192
203382,Aron Baynes,BOS,32,82,260
203085,Austin Rivers,HOU,26,76,200
202340,Avery Bradley,MEM,28,74,180
1629168,B.J. Johnson,SAC,23,79,200
1628389,Bam Adebayo,MIA,21,82,255
203463,Ben McLemore,SAC,26,77,201
1627732,Ben Simmons,PHI,22,82,230
1628656,Billy Garrett,NYK,24,78,215
202687,Bismack Biyombo,CHA,26,81,255
201933,Blake Griffin,DET,30,82,250
1626246,Boban Marjanovic,PHI,30,87,290
1626171,Bobby Portis,WAS,24,83,250
203992,Bogdan Bogdanovic,SAC,26,78,205
202711,Bojan Bogdanovic,IND,30,80,216
1629045,Bonzie Colson,MIL,23,78,225
202954,Brad Wanamaker,BOS,29,76,210
203078,Bradley Beal,WAS,26,77,207
1629164,Brandon Goodwin,DEN,23,74,180
1627742,Brandon Ingram,LAL,21,81,190
202688,Brandon Knight,CLE,27,75,195
1629102,Brandon Sampson,CHI,22,77,184
201572,Brook Lopez,MIL,31,84,270
1628971,Bruce Brown,DET,22,77,202
203998,Bruno Caboclo,MEM,23,81,218
1627854,Bryn Forbes,SAS,25,75,190
1627741,Buddy Hield,SAC,26,76,214
203710,C.J. Williams,MIN,29,77,226
203468,CJ McCollum,POR,27,75,190
101139,CJ Miles,MEM,32,78,220
1628403,Caleb Swanigan,SAC,22,81,250
1626166,Cameron Payne,CLE,24,75,190
1629244,Cameron Reynolds,MIN,24,80,225
1627747,Caris LeVert,BKN,24,79,204
2546,Carmelo Anthony,HOU,35,80,240
1626224,Cedi Osman,CLE,24,80,215
1628990,Chandler Hutchison,CHI,23,79,197
202718,Chandler Parsons,MEM,30,82,230
101112,Channing Frye,CLE,36,84,255
1626184,Chasson Randle,WAS,26,74,185
1627767,Cheick Diallo,NOP,22,81,220
1629002,Chimezie Metu,SAS,22,82,225
1628449,Chris Boucher,TOR,26,82,200
1629185,Chris Chiozza,HOU,23,72,175
101108,Chris Paul,HOU,34,72,175
1626174,Christian Wood,NOP,23,82,214
203991,Clint Capela,HOU,25,82,240
203469,Cody Zeller,CHA,26,84,240
1629012,Collin Sexton,CLE,20,74,190
201147,Corey Brewer,SAC,33,81,186
202709,Cory Joseph,IND,27,75,193
201584,Courtney Lee,DAL,33,77,215
1626245,Cristiano Felicio,CHI,26,82,265
1626156,D'Angelo Russell,BKN,23,77,198
201571,D.J. Augustin,ORL,31,72,183
1628391,D.J. Wilson,MIL,23,82,231
203474,DJ Stephens,MEM,28,77,188
1629541,Dairis Bertans,NOP,29,76,200
1627745,Damian Jones,GSW,24,84,245
203081,Damian Lillard,POR,28,75,195
1627814,Damion Lee,GSW,26,78,210
1628422,Damyean Dotson,NYK,25,78,210
1627772,Daniel Hamilton,ATL,23,79,195
1628464,Daniel Theis,BOS,27,80,243
201568,Danilo Gallinari,LAC,30,82,225
201980,Danny Green,TOR,32,78,215
201967,Dante Cunningham,SAS,32,80,230
203957,Dante Exum,UTA,23,78,190
1627863,Danuel House Jr.,HOU,26,79,220
203967,Dario Saric,MIN,25,82,223
203121,Darius Miller,NOP,29,80,225
201954,Darren Collison,IND,31,72,175
1629133,Daryl Macon,DAL,23,75,185
1628021,David Nwaba,CLE,26,76,219
202722,Davis Bertans,SAS,26,82,225
1628432,Davon Reed,IND,24,77,208
1628368,De'Aaron Fox,SAC,21,75,175
1629001,De'Anthony Melton,PHX,21,76,200
201599,DeAndre Jordan,NYK,30,83,265
1627761,DeAndre' Bembry,ATL,24,78,210
201942,DeMar DeRozan,SAS,29,79,220
202326,DeMarcus Cousins,GSW,28,83,270
201960,DeMarre Carroll,BKN,32,80,215
1629152,DeVaughn Akoon-Purcell,DEN,26,78,200
1629028,Deandre Ayton,PHX,20,85,250
1626153,Delon Wright,MEM,27,77,183
1627743,Demetrius Jackson,PHI,24,73,201
1629061,Deng Adel,CLE,22,79,200
203471,Dennis Schroder,OKC,25,73,172
1628372,Dennis Smith Jr.,NYK,21,75,195
1629126,Deonte Burton,OKC,25,77,245
202324,Derrick Favors,UTA,27,82,265
1627884,Derrick Jones Jr.,MIA,22,79,200
201565,Derrick Rose,MIN,30,75,200
1628401,Derrick White,SAS,24,76,190
1626164,Devin Booker,PHX,22,78,210
2734,Devin Harris,DAL,36,75,185
1628421,Devin Robinson,WAS,24,80,200
1628984,Devonte' Graham,CHA,24,74,185
203473,Dewayne Dedmon,ATL,29,84,245
1627738,Deyonta Davis,ATL,22,83,237
1628415,Dillon Brooks,MEM,23,78,220
203079,Dion Waiters,MIA,27,76,215
1717,Dirk Nowitzki,DAL,41,84,245
1627734,Domantas Sabonis,IND,23,83,240
202700,Donatas Motiejunas,SAS,28,84,220
1628378,Donovan Mitchell,UTA,22,75,215
1628978,Donte DiVincenzo,MIL,22,76,203
1629055,Donte Grantham,OKC,24,80,215
1627827,Dorian Finney-Smith,DAL,26,80,220
203926,Doug McDermott,IND,27,80,225
1627733,Dragan Bender,PHX,21,85,225
203110,Draymond Green,GSW,29,79,230
1629234,Drew Eubanks,SAS,22,82,245
1629130,Duncan Robinson,MIA,25,80,210
1628605,Dusty Hannahs,MEM,25,76,195
1628407,Dwayne Bacon,CHA,23,79,221
2730,Dwight Howard,WAS,33,83,265
203939,Dwight Powell,DAL,27,83,240
2548,Dwyane Wade,MIA,37,76,220
1629058,Dzanan Musa,BKN,20,81,208
202734,E'Twaun Moore,NOP,30,76,191
202334,Ed Davis,BKN,30,82,225
1628410,Edmond Sumner,IND,23,78,176
202327,Ekpe Udoh,UTA,32,82,245
203901,Elfrid Payton,NOP,25,76,185
1629059,Elie Okobo,PHX,21,75,190
1629150,Emanuel Terry,MIA,22,81,220
1626144,Emmanuel Mudiay,NYK,23,77,200
202683,Enes Kanter,POR,27,83,250
202339,Eric Bledsoe,MIL,29,73,205
201569,Eric Gordon,HOU,30,76,215
203961,Eric Moreland,TOR,27,82,238
101141,Ersan Ilyasova,MIL,32,82,235
203095,Evan Fournier,ORL,26,79,205
202323,Evan Turner,POR,30,79,220
1628402,Frank Jackson,NOP,21,75,205
1626163,Frank Kaminsky,CHA,26,84,242
1628412,Frank Mason III,SAC,25,71,190
1628373,Frank Ntilikina,NYK,20,78,200
1627832,Fred VanVleet,TOR,25,72,195
1627788,Furkan Korkmaz,PHI,21,79,190
202066,Garrett Temple,LAC,33,78,195
1629109,Gary Clark,HOU,24,80,225
203914,Gary Harris,DEN,24,76,210
1627780,Gary Payton II,WAS,26,75,190
1629018,Gary Trent Jr.,POR,20,78,205
201588,George Hill,MIL,33,75,188
1628994,George King,PHX,25,78,220
1627777,Georges Niang,UTA,26,80,230
101123,Gerald Green,HOU,33,79,205
203507,Giannis Antetokounmpo,MIL,24,83,242
203922,Glenn Robinson III,DET,25,78,222
201609,Goran Dragic,MIA,33,75,190
202330,Gordon Hayward,BOS,29,80,225
203476,Gorgui Dieng,MIN,29,83,252
1628960,Grayson Allen,UTA,23,77,198
202328,Greg Monroe,PHI,29,83,265
1627824,Guerschon Yabusele,BOS,23,80,260
1628977,Hamidou Diallo,OKC,20,77,198
203084,Harrison Barnes,SAC,27,80,225
1628385,Harry Giles III,SAC,21,82,240
202355,Hassan Whiteside,MIA,30,84,265
1629312,Haywood Highsmith,PHI,22,79,220
1627740,Henry Ellenson,NYK,22,83,245
203546,Ian Clark,NOP,28,75,175
101133,Ian Mahinmi,WAS,32,83,262
1628387,Ike Anigbogu,IND,20,82,250
202697,Iman Shumpert,HOU,29,77,215
1629067,Isaac Bonga,LAL,19,80,180
1629353,Isaac Humphries,ATL,21,84,260
1628515,Isaiah Briscoe,ORL,23,75,215
203477,Isaiah Canaan,MIL,28,72,200
1628392,Isaiah Hartenstein,HOU,21,84,249
1628439,Isaiah Hicks,NYK,24,81,230
202738,Isaiah Thomas,DEN,30,69,185
202397,Ish Smith,DET,30,72,175
1628397,Ivan Rabb,MEM,22,82,220
1627826,Ivica Zubac,LAC,22,85,240
200826,J.J. Barea,DAL,35,72,185
1629122,J.P. Macura,CHA,24,77,205
200755,JJ Redick,PHI,35,76,200
2747,JR Smith,CLE,33,78,225
203960,JaKarr Sampson,CHI,26,81,215
203210,JaMychal Green,LAC,29,81,227
201580,JaVale McGee,LAL,31,84,270
203953,Jabari Parker,WAS,24,80,245
1628980,Jacob Evans,GSW,22,78,210
203109,Jae Crowder,UTA,28,78,235
1626143,Jahlil Okafor,NOP,23,83,275
1627774,Jake Layman,POR,25,81,215
1627751,Jakob Poeltl,SAS,23,84,230
1628973,Jalen Brunson,DAL,22,75,190
1627883,Jalen Jones,CLE,26,79,220
2037,Jamal Crawford,PHX,39,77,185
1627750,Jamal Murray,DEN,22,76,207
203516,James Ennis III,PHI,28,79,210
201935,James Harden,HOU,29,77,220
201949,James Johnson,MIA,32,80,240
203263,James Nunnally,HOU,28,79,208
201162,Jared Dudley,BKN,33,79,237
1629123,Jared Terrell,MIN,24,75,227
1626185,Jarell Martin,ORL,25,82,239
1628991,Jaren Jackson Jr.,MEM,19,83,242
1628417,Jaron Blossomgame,CLE,25,80,220
1629020,Jarred Vanderbilt,DEN,20,81,214
1628386,Jarrett Allen,BKN,21,83,237
201160,Jason Smith,NOP,33,84,240
1628393,Jawun Evans,OKC,22,72,190
1629121,Jaylen Adams,ATL,23,74,190
1627759,Jaylen Brown,BOS,22,79,220
1628537,Jaylen Morris,MIL,23,77,185
1628369,Jayson Tatum,BOS,21,80,208
201145,Jeff Green,WAS,32,81,235
201952,Jeff Teague,MIN,31,74,195
1629203,Jemerrio Jones,LAL,24,77,174
203924,Jerami Grant,OKC,25,81,220
203087,Jeremy Lamb,CHA,27,77,185
202391,Jeremy Lin,TOR,30,75,200
1626170,Jerian Grant,ORL,26,76,205
1629010,Jerome Robinson,LAC,22,77,190
201573,Jerryd Bayless,MIN,30,75,200
1628975,Jevon Carter,MEM,23,74,196
202690,Jimmer Fredette,PHX,30,74,195
202710,Jimmy Butler,PHI,29,80,232
201149,Joakim Noah,MEM,34,83,230
201975,Jodie Meeks,TOR,31,76,210
1629147,Joe Chealey,CHA,23,75,190
203925,Joe Harris,BKN,27,78,218
204060,Joe Ingles,UTA,31,80,226
203954,Joel Embiid,PHI,25,84,250
1628381,John Collins,ATL,21,82,235
203089,John Henson,CLE,28,83,219
204066,John Holland,CLE,30,77,205
203098,John Jenkins,NYK,28,76,215
202322,John Wall,WAS,28,76,210
1628405,Johnathan Motley,LAC,24,82,230
1629140,Johnathan Williams,LAL,24,81,228
202720,Jon Leuer,DET,30,82,228
1628413,Jonah Bolden,PHI,23,82,220
201973,Jonas Jerebko,GSW,32,82,231
202685,Jonas Valanciunas,MEM,27,84,265
1628371,Jonathan Isaac,ORL,21,82,210
203613,Jonathon Simmons,PHI,29,78,195
1628395,Jordan Bell,GSW,24,81,224
203903,Jordan Clarkson,CLE,27,77,194
1628070,Jordan Loyd,TOR,25,76,210
203895,Jordan McRae,WAS,28,77,179
1626296,Jordan Sibert,ATL,26,76,187
101181,Jose Calderon,DET,37,75,200
1628404,Josh Hart,LAL,24,77,215
1628367,Josh Jackson,PHX,22,80,200
1629006,Josh Okogie,MIN,20,76,212
1626196,Josh Richardson,MIA,25,78,200
201950,Jrue Holiday,NOP,29,76,205
1627823,Juancho Hernangomez,DEN,23,81,230
1627395,Julian Washburn,MEM,27,80,209
203944,Julius Randle,NOP,24,81,250
1626147,Justin Anderson,ATL,25,78,230
203200,Justin Holiday,MEM,30,78,181
1628382,Justin Jackson,DAL,24,80,210
1628383,Justin Patton,PHI,22,84,241
1626159,Justise Winslow,MIA,23,79,225
203994,Jusuf Nurkic,POR,24,84,275
1628443,Kadeem Allen,NYK,26,75,200
203564,Kalin Lucas,DET,30,73,195
1626157,Karl-Anthony Towns,MIN,23,84,248
202695,Kawhi Leonard,TOR,28,79,230
1628966,Keita Bates-Diop,MIN,23,81,229
203482,Kelly Olynyk,MIA,28,84,240
1626162,Kelly Oubre Jr.,PHX,23,79,205
202689,Kemba Walker,CHA,29,73,184
202702,Kenneth Faried,HOU,29,80,220
1629026,Kenrich Williams,NOP,24,79,210
203145,Kent Bazemore,ATL,29,77,201
203484,Kentavious Caldwell-Pope,LAL,26,77,205
201142,Kevin Durant,GSW,30,81,240
1628989,Kevin Huerter,ATL,20,79,190
1628995,Kevin Knox II,NYK,19,81,215
201567,Kevin Love,CLE,30,82,251
1626172,Kevon Looney,GSW,23,81,220
203920,Khem Birch,ORL,26,81,233
203114,Khris Middleton,MIL,27,80,222
1629017,Khyri Thomas,DET,23,75,210
202691,Klay Thompson,GSW,29,79,215
1628424,Kobi Simmons,CLE,21,76,170
201585,Kosta Koufos,SAC,30,84,245
1628961,Kostas Antetokounmpo,DAL,21,82,200
1627739,Kris Dunn,CHI,25,76,205
203937,Kyle Anderson,MEM,25,81,230
2594,Kyle Korver,UTA,38,79,212
1628398,Kyle Kuzma,LAL,23,81,220
200768,Kyle Lowry,TOR,33,73,196
203124,Kyle O'Quinn,IND,29,82,250
202681,Kyrie Irving,BOS,27,75,193
200746,LaMarcus Aldridge,SAS,33,83,260
202362,Lance Stephenson,LAL,28,78,230
202498,Lance Thomas,NYK,31,80,240
1629013,Landry Shamet,LAC,22,77,188
204038,Langston Galloway,DET,27,74,200
1626204,Larry Nance Jr.,CLE,26,81,230
1628374,Lauri Markkanen,CHI,22,84,240
2544,LeBron James,LAL,34,80,250
1629022,Lonnie Walker IV,SAS,20,77,205
1628366,Lonzo Ball,LAL,21,78,190
203485,Lorenzo Brown,TOR,28,77,189
101150,Lou Williams,LAC,32,73,175
201601,Luc Mbah a Moute,LAC,32,80,230
1629029,Luka Doncic,DAL,20,79,218
1628379,Luke Kennard,DET,23,77,206
1628436,Luke Kornet,NYK,23,85,250
2736,Luol Deng,MIN,34,81,237
1627781,Malachi Richardson,TOR,23,78,205
1627763,Malcolm Brogdon,MIL,26,77,229
1626259,Malcolm Miller,TOR,26,79,210
1627736,Malik Beasley,DEN,22,77,195
1628370,Malik Monk,CHA,21,75,200
202705,MarShon Brooks,MEM,30,77,200
201188,Marc Gasol,TOR,34,85,255
101162,Marcin Gortat,LAC,35,83,240
201158,Marco Belinelli,SAS,33,77,210
1629094,Marcus Derrickson,GSW,23,79,249
202694,Marcus Morris Sr.,BOS,29,81,235
203935,Marcus Smart,BOS,25,76,220
1626209,Mario Hezonja,NYK,24,80,225
1628365,Markelle Fultz,ORL,21,76,200
202693,Markieff Morris,OKC,29,82,245
1627737,Marquese Chriss,CLE,21,82,240
1628963,Marvin Bagley III,SAC,20,83,234
101107,Marvin Williams,CHA,33,81,237
203486,Mason Plumlee,DEN,29,83,235
203521,Matthew Dellavedova,CLE,28,76,200
203090,Maurice Harkless,POR,26,81,220
1628467,Maxi Kleber,DAL,27,83,240
1628982,Melvin Frazier,ORL,22,78,200
203086,Meyers Leonard,POR,27,85,255
201563,Michael Beasley,LAL,30,81,235
203487,Michael Carter-Williams,ORL,27,78,190
203077,Michael Kidd-Gilchrist,CHA,25,79,232
1628969,Mikal Bridges,PHX,22,79,210
201144,Mike Conley,MEM,31,73,175
203488,Mike Muscala,LAL,27,83,240
203118,Mike Scott,PHI,30,80,237
1628970,Miles Bridges,CHA,21,79,225
203101,Miles Plumlee,ATL,30,83,249
1628462,Milos Teodosic,LAC,32,77,196
1628249,Mitchell Creek,MIN,27,78,225
1629011,Mitchell Robinson,NYK,21,85,240
1628964,Mo Bamba,ORL,21,84,221
1628420,Monte Morris,DEN,24,75,175
1626149,Montrezl Harrell,LAC,25,80,240
1629021,Moritz Wagner,LAL,22,83,245
1626167,Myles Turner,IND,23,83,250
1628513,Naz Mitrou-Long,UTA,25,76,218
202357,Nemanja Bjelica,SAC,31,82,234
2403,Nene,HOU,36,83,250
203457,Nerlens Noel,OKC,25,83,220
201156,Nick Young,DEN,34,79,210
201587,Nicolas Batum,CHA,30,80,200
203917,Nik Stauskas,CLE,25,78,205
203999,Nikola Jokic,DEN,24,84,250
202703,Nikola Mirotic,MIL,28,82,250
202696,Nikola Vucevic,ORL,28,84,260
203943,Noah Vonleh,NYK,23,81,250
1626181,Norman Powell,TOR,26,76,215
1628384,OG Anunoby,TOR,21,80,232
1627855,Okaro White,WAS,26,80,205
1629016,Omari Spellman,ATL,21,81,245
201956,Omri Casspi,MEM,31,81,225
203490,Otto Porter Jr.,CHI,26,80,198
200782,P.J. Tucker,HOU,34,78,245
1628408,PJ Dozier,BOS,22,78,205
1627783,Pascal Siakam,TOR,25,81,230
1626192,Pat Connaughton,MIL,26,76,209
201976,Patrick Beverley,LAC,30,73,185
1627775,Patrick McCaw,TOR,23,79,185
202335,Patrick Patterson,OKC,30,81,230
201988,Patty Mills,SAS,30,72,180
2200,Pau Gasol,MIL,38,84,250
202331,Paul George,OKC,29,81,220
200794,Paul Millsap,DEN,34,80,246
203112,Quincy Acy,PHX,28,79,240
202347,Quincy Pondexter,SAS,31,79,230
1626188,Quinn Cook,GSW,26,74,179
1626154,RJ Hunter,BOS,25,77,185
200765,Rajon Rondo,LAL,33,73,186
203526,Raul Neto,UTA,27,73,179
1628959,Rawle Alkins,CHI,21,77,225
1629034,Ray Spalding,PHX,22,82,215
101109,Raymond Felton,OKC,35,73,205
203493,Reggie Bullock,LAL,28,79,205
202704,Reggie Jackson,DET,29,75,208
1626158,Richaun Holmes,PHX,25,82,235
201937,Ricky Rubio,UTA,28,76,190
203496,Robert Covington,MIN,28,81,225
1629057,Robert Williams III,BOS,21,82,240
201577,Robin Lopez,CHI,31,84,275
1629066,Rodions Kurucs,BKN,21,81,210
203918,Rodney Hood,POR,26,80,206
203585,Rodney McGruder,LAC,27,76,200
1627758,Ron Baker,WAS,26,76,220
1626178,Rondae Hollis-Jefferson,BKN,24,79,217
1626220,Royce O'Neale,UTA,26,78,226
200752,Rudy Gay,SAS,32,80,230
203497,Rudy Gobert,UTA,27,85,245
201566,Russell Westbrook,OKC,30,75,200
201583,Ryan Anderson,MIA,31,82,240
1627853,Ryan Arcidiacono,CHI,25,75,200
1629151,Ryan Broekhoff,DAL,28,79,215
1626257,Salah Mejri,DAL,33,86,235
1626155,Sam Dekker,WAS,25,81,230
203159,Scott Machado,LAL,29,73,205
1628400,Semi Ojeleye,BOS,24,79,241
201586,Serge Ibaka,TOR,29,82,235
203552,Seth Curry,POR,28,74,185
203894,Shabazz Napier,BKN,27,73,180
1628983,Shai Gilgeous-Alexander,LAC,20,78,181
1629003,Shake Milton,PHI,22,78,207
1627885,Shaquille Harrison,CHI,25,76,190
2733,Shaun Livingston,GSW,33,79,192
202714,Shelvin Mack,CHA,29,75,203
1628414,Sindarius Thornwell,LAC,24,77,215
1627746,Skal Labissiere,POR,23,83,235
203524,Solomon Hill,NOP,28,79,225
203915,Spencer Dinwiddie,BKN,26,78,210
1626169,Stanley Johnson,NOP,23,79,245
201939,Stephen Curry,GSW,31,75,190
1628425,Sterling Brown,MIL,24,78,232
203500,Steven Adams,OKC,25,84,265
1629004,Svi Mykhailiuk,DET,22,80,205
1628388,T.J. Leaf,IND,22,82,225
204456,T.J. McConnell,PHI,27,74,190
203933,T.J. Warren,PHX,25,80,215
1628769,Tahjere McCall,BKN,24,77,190
201959,Taj Gibson,MIN,34,81,232
1627752,Taurean Prince,ATL,25,80,220
1628390,Terrance Ferguson,OKC,21,79,190
203093,Terrence Jones,HOU,27,81,252
203082,Terrence Ross,ORL,28,79,206
1626179,Terry Rozier,BOS,25,73,190
200757,Thabo Sefolosha,UTA,35,79,220
201152,Thaddeus Young,IND,31,80,221
1629033,Theo Pinson,BKN,23,78,218
1628418,Thomas Bryant,WAS,21,83,248
1629118,Thomas Welsh,DEN,23,84,255
1627748,Thon Maker,DET,22,85,221
204025,Tim Frazier,MIL,28,73,170
203501,Tim Hardaway Jr.,DAL,27,78,205
1627789,Timothe Luwawu-Cabarrot,CHI,24,78,210
202699,Tobias Harris,PHI,26,81,235
203107,Tomas Satoransky,WAS,27,79,210
1628396,Tony Bradley,UTA,21,82,248
2225,Tony Parker,CHA,37,74,185
203503,Tony Snell,MIL,27,79,213
1628470,Torrey Craig,DEN,28,79,215
1629027,Trae Young,ATL,20,74,180
1626203,Treveon Graham,BKN,25,77,225
1628979,Trevon Duval,HOU,20,74,189
2772,Trevor Ariza,WAS,33,80,215
203504,Trey Burke,DAL,26,73,175
1626168,Trey Lyles,DEN,23,82,234
202684,Tristan Thompson,CLE,28,82,238
1628972,Troy Brown Jr.,WAS,19,79,215
1628505,Troy Caupain,ORL,23,76,210
203584,Troy Daniels,PHX,27,76,205
1627786,Troy Williams,SAC,24,79,218
1628463,Tyler Cavanaugh,UTA,25,81,238
1629093,Tyler Davis,OKC,22,82,266
1628416,Tyler Dorsey,MEM,23,77,183
204020,Tyler Johnson,PHX,27,76,190
1628399,Tyler Lydon,DEN,23,82,225
1627755,Tyler Ulis,CHI,23,70,160
203092,Tyler Zeller,MEM,29,84,253
201936,Tyreke Evans,IND,29,78,220
1627820,Tyrone Wallace,LAC,25,77,198
2199,Tyson Chandler,LAL,36,85,240
1626145,Tyus Jones,MIN,23,74,196
2617,Udonis Haslem,MIA,39,80,235
203506,Victor Oladipo,IND,27,76,210
1713,Vince Carter,ATL,42,78,220
1629053,Vincent Edwards,HOU,23,80,225
1627735,Wade Baldwin IV,POR,23,76,200
1627215,Walt Lemon Jr.,CHI,26,75,180
201961,Wayne Ellington,DET,31,77,200
1627782,Wayne Selden,CHI,24,77,230
1628976,Wendell Carter Jr.,CHI,20,82,255
1628411,Wes Iwundu,ORL,24,79,195
202325,Wesley Johnson,WAS,31,79,215
202083,Wesley Matthews,IND,32,77,220
203115,Will Barton,DEN,28,78,190
1626161,Willie Cauley-Stein,SAC,25,84,240
1626195,Willy Hernangomez,CHA,25,83,240
201163,Wilson Chandler,LAC,32,81,225
1628999,Yante Maten,MIA,22,80,240
1627812,Yogi Ferrell,SAC,26,72,180
1629139,Yuta Watanabe,MEM,24,81,205
1628380,Zach Collins,POR,21,84,235
203897,Zach LaVine,CHI,24,77,200
1629155,Zach Lofton,DET,26,76,180
2585,Zaza Pachulia,DET,35,83,270
1629015,Zhaire Smith,PHI,20,76,199
1627753,Zhou Qi,HOU,23,85,210
